Date,Order Name,Line Item,Creative,Total Cost
4/23/18,CT - El Paso (58137),CT - El Paso - Rogue  _ LAL _ Mobile/Tablet,FY18RMPInMarket_NA_NA_NA_InMarket_OMDP-Adobe_Rogue_AnnalectCustomAudiencesAutoShopper_Mobile-Tablet_NA_160x600,0
4/23/18,CT - El Paso (58137),CT - El Paso - Rogue  _ LAL _ Mobile/Tablet,FY18RMPInMarket_NA_NA_NA_InMarket_OMDP-Adobe_Rogue_AnnalectCustomAudiencesAutoShopper_Mobile-Tablet_NA_300x600,0
4/23/18,CT - El Paso (58137),CT - El Paso - Rogue  _ LAL _ Mobile/Tablet,FY18RMPInMarket_NA_NA_NA_InMarket_OMDP-Adobe_Rogue_EndemicPartners_Desktop_NA_300x250,0
